"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Spectra Health","H8DCS35915","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grand Forks","ND","58201-4781","Grand Forks","ND-00","2020","$637,490"
"Spectrum Health Services, Inc.","H8DCS36612","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Philadelphia","PA","19139-1401","Philadelphia","PA-03","2020","$708,740"
"Spring Branch Community Health Center","H8DCS36452","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77042-1908","Harris","TX-07","2020","$1,040,690"
"Springfield Medical Care System Inc","H8DCS36227","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","VT","05156-3050","Windsor","VT-00","2020","$1,010,015"
"Springfield, City Of","H8DCS35474","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","MA","01105-1320","Hampden","MA-01","2020","$568,340"
"Squirrel Hill Health Center","H8DCS36624","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pittsburgh","PA","15217-2917","Allegheny","PA-18","2020","$679,460"
"St Anthony Medical Centers","H8DCS35738","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90028-6320","Los Angeles","CA-28","2020","$638,900"
"St Charles Health Council Inc","H8DCS36740","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jonesville","VA","24263-1215","Lee","VA-09","2020","$853,730"
"St Gabriel Health Clinic Inc","H8DCS35812","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Gabriel","LA","70776-4412","Iberville","LA-02","2020","$603,500"
"St James Santee Family Health Center Inc","H8DCS36272","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mc Clellanville","SC","29458-9405","Charleston","SC-01","2020","$714,530"
"St Thomas East End Medical Center Corporation","H8DCS36547","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Charlotte Amalie","VI","00802-1736","St. Thomas","VI-98","2020","$662,960"
"St. Francis House Nwa, Inc.","H8DCS35424","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springdale","AR","72764-4469","Washington","AR-03","2020","$1,446,215"
"St. George Medical Clinic Inc","H8DCS35876","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Parsons","WV","26287-8604","Tucker","WV-01","2020","$591,425"
"St. John'S Well Child And Family Center, Inc.","H8DCS35621","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90037-3632","Los Angeles","CA-37","2020","$2,744,300"
"St. Jude Neighborhood Health Centers","H8DCS35710","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fullerton","CA","92832-2753","Orange","CA-39","2020","$852,290"
"St. Luke'S Health Care Clinic, Inc.","H8DCS36394","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Las Cruces","NM","88005-2739","Dona Ana","NM-02","2020","$529,145"
"St. Thomas Community Health Center, Inc.","H8DCS35751","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Orleans","LA","70130-5022","Orleans","LA-02","2020","$1,007,765"
"St. Vincent De Paul Village, Inc.","H8DCS35772","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Diego","CA","92101-7638","San Diego","CA-52","2020","$548,840"
"Start Corporation","H8DCS35816","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houma","LA","70360-6304","Terrebonne","LA-01","2020","$672,485"
"Staywell Health Care, Inc.","H8DCS35956","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Waterbury","CT","06702-1418","New Haven","CT-05","2020","$946,910"
"Stedman - Wade Health Services, Inc., The","H8DCS36410","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wade","NC","28395-9749","Cumberland","NC-08","2020","$639,740"
"Stephen F. Austin Community Health Center, Inc.","H8DCS36437","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Alvin","TX","77511-2718","Brazoria","TX-22","2020","$955,430"
"Sterling Area Health Center","H8DCS35493","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sterling","MI","48659-9548","Arenac","MI-05","2020","$665,300"
"Sterling Health Solutions, Inc.","H8DCS36343","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mount Sterling","KY","40353-1179","Montgomery","KY-06","2020","$688,910"
"Stigler Health & Wellness Center Inc.","H8DCS35601","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Stigler","OK","74462-2914","Haskell","OK-02","2020","$1,060,310"
"Sto-Rox Neighborhood Health Council, Inc.","H8DCS36621","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mc Kees Rocks","PA","15136-3808","Allegheny","PA-17","2020","$576,695"
"Stony Creek Community Health Center","H8DCS36756","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Stony Creek","VA","23882-3302","Sussex","VA-04","2020","$549,560"
"Su Clinica Familiar","H8DCS36435","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Harlingen","TX","78550-8911","Cameron","TX-34","2020","$1,367,465"
"Summit Community Care Clinic, Inc.","H8DCS35907","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Frisco","CO","80443","Summit","CO-02","2020","$755,930"
"Sun Life Family Health Center, Inc","H8DCS35439","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Casa Grande","AZ","85122-6011","Pinal","AZ-01","2020","$1,449,725"
"Suncoast Community Health Centers, Inc.","H8DCS35989","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ruskin","FL","33570-5471","Hillsborough","FL-16","2020","$2,108,780"
"Sunrise Community Health","H8DCS35920","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Evans","CO","80620-1011","Weld","CO-04","2020","$1,414,010"
"Sunset Community Health Center","H8DCS35435","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Somerton","AZ","85350","Yuma","AZ-03","2020","$1,018,355"
"Sunset Park Health Council, Inc.","H8DCS36569","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11220-2508","Kings","NY-07","2020","$3,448,745"
"Sunshine Community Health Center Incorporated","H8DCS35392","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Talkeetna","AK","99676","Matanuska-Susitna","AK-00","2020","$570,410"
"Susquehanna Community Health And Dental Clinic, Inc.","H8DCS36628","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Williamsport","PA","17701-6122","Lycoming","PA-12","2020","$782,855"
"Swla Center For Health Services","H8DCS35740","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lake Charles","LA","70601-2641","Calcasieu","LA-03","2020","$989,630"
"Swope Health Services","H8DCS35927","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kansas City","MO","64130-2807","Jackson","MO-05","2020","$1,666,745"
"Syracuse Community Health Center, Inc.","H8DCS36557","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Syracuse","NY","13202-3527","Onondaga","NY-24","2020","$1,050,410"
"Talbert House Health Center","H8DCS36684","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Franklin","OH","45005-1900","Warren","OH-01","2020","$596,885"
"Tampa Family Health Centers, Inc.","H8DCS36150","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tampa","FL","33612-3415","Hillsborough","FL-14","2020","$3,455,510"
"Tandem Health Sc","H8DCS36261","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sumter","SC","29150-2964","Sumter","SC-06","2020","$863,870"
"Tca Health, Inc. Nfp","H8DCS36123","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60628-6908","Cook","IL-02","2020","$671,555"
"Teche Action Board, The","H8DCS35744","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Franklin","LA","70538-4124","St. Mary","LA-03","2020","$976,130"
"Tejas Health Care","H8DCS36450","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","La Grange","TX","78945-2353","Fayette","TX-10","2020","$651,875"
"Tensas Community Health Center","H8DCS35742","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Joseph","LA","71366-6661","Tensas","LA-05","2020","$564,665"
"Terros Inc","H8DCS35447","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Phoenix","AZ","85012-2914","Maricopa","AZ-09","2020","$559,865"
"Texas Tech University Health Sciences Center","H8DCS36447","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lubbock","TX","79430-0002","Lubbock","TX-19","2020","$773,990"
"The Addabbo Joseph P Family Health Center Inc","H8DCS36571","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Arverne","NY","11692-1409","Queens","NY-05","2020","$1,218,830"
"The Health & Hospital Corp Of Marion County","H8DCS35675","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Indianapolis","IN","46205-2930","Marion","IN-07","2020","$1,887,095"
"Three Lower Counties Community Services, Inc.","H8DCS36303","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Salisbury","MD","21804-1773","Wicomico","MD-01","2020","$1,305,470"
"Thunder Bay Community Health Service, Incorporated","H8DCS35529","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hillman","MI","49746-7961","Montmorency","MI-01","2020","$769,850"
"Thundermist Health Center","H8DCS36276","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Woonsocket","RI","02895-3207","Providence","RI-01","2020","$1,403,510"
"Tiburcio Vasquez Health Center Incorporated","H8DCS35610","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Union City","CA","94587-2137","Alameda","CA-15","2020","$1,145,405"
"Tillamook County","H8DCS35801","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tillamook","OR","97141-3926","Tillamook","OR-05","2020","$597,005"
"Total Health Care, Inc.","H8DCS36311","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baltimore","MD","21217-3121","Baltimore City","MD-07","2020","$1,195,265"
"Traverse Health Clinic And Coalition","H8DCS35599","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Traverse City","MI","49686-4337","Grand Traverse","MI-01","2020","$569,930"
"Travis County Healthcare District","H8DCS36485","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Austin","TX","78702-4209","Travis","TX-35","2020","$3,676,220"
"Treasure Coast Community Health, Inc.","H8DCS35997","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fellsmere","FL","32948-5463","Indian River","FL-08","2020","$984,305"
"Trenton Medical Center Inc","H8DCS35981","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Trenton","FL","32693-3239","Gilchrist","FL-02","2020","$1,587,005"
"Tri County Community Health Council, Inc","H8DCS36349","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dunn","NC","28334-7988","Sampson","NC-07","2020","$1,287,260"
"Tri-Area Community Health","H8DCS36728","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Laurel Fork","VA","24352-3982","Carroll","VA-09","2020","$696,800"
"Tri-Cities Community Health","H8DCS36708","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pasco","WA","99301-4175","Franklin","WA-04","2020","$1,285,145"
"Tri-City Health Center","H8DCS35613","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fremont","CA","94538-2211","Alameda","CA-17","2020","$1,079,405"
"Tri-County Community Action Agency","H8DCS36213","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Johnston","RI","02919-7109","Providence","RI-02","2020","$624,680"
"Tri-State Community Health Center","H8DCS36308","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hancock","MD","21750-1143","Washington","MD-06","2020","$819,410"
"Tri-State Community Health Center","H8DCS36042","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Memphis","TN","38118-2128","Shelby","TN-09","2020","$559,070"
"Tri-State Community Healthcare Center","H8DCS35775","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Needles","CA","92363-3104","San Bernardino","CA-08","2020","$598,340"
"Triad Adult And Pediatric Medicine, Inc.","H8DCS36381","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greensboro","NC","27405-6712","Guilford","NC-06","2020","$758,825"
"Triad Health System Inc","H8DCS36496","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Owenton","KY","40359-9305","Owen","KY-04","2020","$602,855"
"Triangle Area Network, Inc.","H8DCS36459","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Beaumont","TX","77702-1301","Jefferson","TX-14","2020","$583,055"
"Trinity Health Corporation","H8DCS36141","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grand Rapids","MI","49546-6142","Kent","MI-03","2020","$864,905"
"Tuba City Regional Healthcare Corporation","H8DCS35448","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tuba City","AZ","86045","Coconino","AZ-01","2020","$566,330"
"Tug River Health Association, Inc","H8DCS35837","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Gary","WV","24836","McDowell","WV-03","2020","$613,955"
"Tulip Tree Health Services Of Gibson County, Inc.","H8DCS35667","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Branch","IN","47648-1313","Gibson","IN-08","2020","$562,790"
"Turner House Clinic Inc.","H8DCS36159","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kansas City","KS","66102-5105","Wyandotte","KS-03","2020","$737,090"
"Tyler Family Circle Of Care","H8DCS36511","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tyler","TX","75702-5055","Smith","TX-01","2020","$968,585"
"Umpqua Community Health Center, Inc.","H8DCS35807","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Roseburg","OR","97470-1042","Douglas","OR-04","2020","$740,945"
"Uncompahgre Combined Clinics","H8DCS35912","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Norwood","CO","81423","San Miguel","CO-03","2020","$543,440"
